system:index,CUENCA,FID_CUENCA,HECTARES,SUBCUENCA,VERTIENTE,mean,month,precip_mm,year
14_00000000000000000000,Cahabón-Polochic-Lago Izabal,0,241873.689,Cahabón,Caribe,68.35698465715198,3.0,68.35698465715198,2001.0
14_00000000000000000001,Cahabón-Polochic-Lago Izabal,1,315933.541,Polochic,Caribe,38.6855911620721,3.0,38.6855911620721,2001.0
14_00000000000000000002,Cahabón-Polochic-Lago Izabal,14,241661.117,Izabal-Río Dulce,Caribe,36.83057820174128,3.0,36.83057820174128,2001.0
15_00000000000000000000,Cahabón-Polochic-Lago Izabal,0,241873.689,Cahabón,Caribe,30.83833727978225,4.0,30.83833727978225,2001.0
15_00000000000000000001,Cahabón-Polochic-Lago Izabal,1,315933.541,Polochic,Caribe,19.816045398124288,4.0,19.816045398124288,2001.0
15_00000000000000000002,Cahabón-Polochic-Lago Izabal,14,241661.117,Izabal-Río Dulce,Caribe,48.48660717621555,4.0,48.48660717621555,2001.0
16_00000000000000000000,Cahabón-Polochic-Lago Izabal,0,241873.689,Cahabón,Caribe,173.22415647604242,5.0,173.22415647604242,2001.0
16_00000000000000000001,Cahabón-Polochic-Lago Izabal,1,315933.541,Polochic,Caribe,175.77988612692698,5.0,175.77988612692698,2001.0
16_00000000000000000002,Cahabón-Polochic-Lago Izabal,14,241661.117,Izabal-Río Dulce,Caribe,161.87797414536402,5.0,161.87797414536402,2001.0
17_00000000000000000000,Cahabón-Polochic-Lago Izabal,0,241873.689,Cahabón,Caribe,193.15522282046817,6.0,193.15522282046817,2001.0
17_00000000000000000001,Cahabón-Polochic-Lago Izabal,1,315933.541,Polochic,Caribe,181.6691222282628,6.0,181.6691222282628,2001.0
17_00000000000000000002,Cahabón-Polochic-Lago Izabal,14,241661.117,Izabal-Río Dulce,Caribe,266.0452743778981,6.0,266.0452743778981,2001.0
18_00000000000000000000,Cahabón-Polochic-Lago Izabal,0,241873.689,Cahabón,Caribe,286.4890411405796,7.0,286.4890411405796,2001.0
18_00000000000000000001,Cahabón-Polochic-Lago Izabal,1,315933.541,Polochic,Caribe,275.8671465591299,7.0,275.8671465591299,2001.0
18_00000000000000000002,Cahabón-Polochic-Lago Izabal,14,241661.117,Izabal-Río Dulce,Caribe,323.680093567203,7.0,323.680093567203,2001.0
19_00000000000000000000,Cahabón-Polochic-Lago Izabal,0,241873.689,Cahabón,Caribe,252.14086699360493,8.0,252.14086699360493,2001.0
19_00000000000000000001,Cahabón-Polochic-Lago Izabal,1,315933.541,Polochic,Caribe,267.43733478047056,8.0,267.43733478047056,2001.0
19_00000000000000000002,Cahabón-Polochic-Lago Izabal,14,241661.117,Izabal-Río Dulce,Caribe,365.30491787185406,8.0,365.30491787185406,2001.0
20_00000000000000000000,Cahabón-Polochic-Lago Izabal,0,241873.689,Cahabón,Caribe,328.7603128796624,9.0,328.7603128796624,2001.0
20_00000000000000000001,Cahabón-Polochic-Lago Izabal,1,315933.541,Polochic,Caribe,345.1178654511415,9.0,345.1178654511415,2001.0
20_00000000000000000002,Cahabón-Polochic-Lago Izabal,14,241661.117,Izabal-Río Dulce,Caribe,327.8198333236576,9.0,327.8198333236576,2001.0
21_00000000000000000000,Cahabón-Polochic-Lago Izabal,0,241873.689,Cahabón,Caribe,215.90790221280108,10.0,215.90790221280108,2001.0
21_00000000000000000001,Cahabón-Polochic-Lago Izabal,1,315933.541,Polochic,Caribe,189.5595322829737,10.0,189.5595322829737,2001.0
21_00000000000000000002,Cahabón-Polochic-Lago Izabal,14,241661.117,Izabal-Río Dulce,Caribe,225.36531569889087,10.0,225.36531569889087,2001.0
22_00000000000000000000,Cahabón-Polochic-Lago Izabal,0,241873.689,Cahabón,Caribe,74.48670568562143,11.0,74.48670568562143,2001.0
22_00000000000000000001,Cahabón-Polochic-Lago Izabal,1,315933.541,Polochic,Caribe,44.43081164869014,11.0,44.43081164869014,2001.0
22_00000000000000000002,Cahabón-Polochic-Lago Izabal,14,241661.117,Izabal-Río Dulce,Caribe,80.77155881298562,11.0,80.77155881298562,2001.0
23_00000000000000000000,Cahabón-Polochic-Lago Izabal,0,241873.689,Cahabón,Caribe,107.6265455223384,12.0,107.6265455223384,2001.0
23_00000000000000000001,Cahabón-Polochic-Lago Izabal,1,315933.541,Polochic,Caribe,53.00940598575716,12.0,53.00940598575716,2001.0
